,const,density,dz,zenith,algae
295,1.0,400,0.1,30,5000
296,1.0,400,0.1,30,7000
297,1.0,400,0.1,30,11000
298,1.0,400,0.1,30,13000
299,1.0,400,0.1,30,15000
300,1.0,400,0.1,30,20000
301,1.0,400,0.1,40,0
302,1.0,400,0.1,40,5000
303,1.0,400,0.1,40,7000
304,1.0,400,0.1,40,11000
305,1.0,400,0.1,40,13000
306,1.0,400,0.1,40,15000
307,1.0,400,0.1,40,20000
308,1.0,400,0.1,50,0
309,1.0,400,0.1,50,5000
310,1.0,400,0.1,50,7000
311,1.0,400,0.1,50,11000
312,1.0,400,0.1,50,13000
313,1.0,400,0.1,50,15000
314,1.0,400,0.1,50,20000
315,1.0,400,0.1,60,0
316,1.0,400,0.1,60,5000
317,1.0,400,0.1,60,7000
318,1.0,400,0.1,60,11000
319,1.0,400,0.1,60,13000
320,1.0,400,0.1,60,15000
321,1.0,400,0.1,60,20000
322,1.0,400,0.1,70,0
323,1.0,400,0.1,70,5000
324,1.0,400,0.1,70,7000
325,1.0,400,0.1,70,11000
326,1.0,400,0.1,70,13000
327,1.0,400,0.1,70,15000
328,1.0,400,0.1,70,20000
329,1.0,400,0.1,80,0
330,1.0,400,0.1,80,5000
331,1.0,400,0.1,80,7000
332,1.0,400,0.1,80,11000
333,1.0,400,0.1,80,13000
334,1.0,400,0.1,80,15000
335,1.0,400,0.1,80,20000
336,1.0,500,0.1,30,0
337,1.0,500,0.1,30,5000
338,1.0,500,0.1,30,7000
339,1.0,500,0.1,30,11000
340,1.0,500,0.1,30,13000
341,1.0,500,0.1,30,15000
342,1.0,500,0.1,30,20000
343,1.0,500,0.1,40,0
344,1.0,500,0.1,40,5000
345,1.0,500,0.1,40,7000
346,1.0,500,0.1,40,11000
347,1.0,500,0.1,40,13000
348,1.0,500,0.1,40,15000
349,1.0,500,0.1,40,20000
350,1.0,500,0.1,50,0
351,1.0,500,0.1,50,5000
352,1.0,500,0.1,50,7000
353,1.0,500,0.1,50,11000
354,1.0,500,0.1,50,13000
355,1.0,500,0.1,50,15000
356,1.0,500,0.1,50,20000
357,1.0,500,0.1,60,0
358,1.0,500,0.1,60,5000
359,1.0,500,0.1,60,7000
360,1.0,500,0.1,60,11000
361,1.0,500,0.1,60,13000
362,1.0,500,0.1,60,15000
363,1.0,500,0.1,60,20000
364,1.0,500,0.1,70,0
365,1.0,500,0.1,70,5000
366,1.0,500,0.1,70,7000
367,1.0,500,0.1,70,11000
368,1.0,500,0.1,70,13000
369,1.0,500,0.1,70,15000
370,1.0,500,0.1,70,20000
371,1.0,500,0.1,80,0
372,1.0,500,0.1,80,5000
373,1.0,500,0.1,80,7000
374,1.0,500,0.1,80,11000
375,1.0,500,0.1,80,13000
376,1.0,500,0.1,80,15000
377,1.0,500,0.1,80,20000
378,1.0,600,0.1,30,0
379,1.0,600,0.1,30,5000
380,1.0,600,0.1,30,7000
381,1.0,600,0.1,30,11000
382,1.0,600,0.1,30,13000
383,1.0,600,0.1,30,15000
384,1.0,600,0.1,30,20000
385,1.0,600,0.1,40,0
386,1.0,600,0.1,40,5000
387,1.0,600,0.1,40,7000
388,1.0,600,0.1,40,11000
389,1.0,600,0.1,40,13000
390,1.0,600,0.1,40,15000
391,1.0,600,0.1,40,20000
392,1.0,600,0.1,50,0
393,1.0,600,0.1,50,5000
394,1.0,600,0.1,50,7000
395,1.0,600,0.1,50,11000
396,1.0,600,0.1,50,13000
397,1.0,600,0.1,50,15000
398,1.0,600,0.1,50,20000
399,1.0,600,0.1,60,0
400,1.0,600,0.1,60,5000
401,1.0,600,0.1,60,7000
402,1.0,600,0.1,60,11000
403,1.0,600,0.1,60,13000
404,1.0,600,0.1,60,15000
405,1.0,600,0.1,60,20000
406,1.0,600,0.1,70,0
407,1.0,600,0.1,70,5000
408,1.0,600,0.1,70,7000
409,1.0,600,0.1,70,11000
410,1.0,600,0.1,70,13000
411,1.0,600,0.1,70,15000
412,1.0,600,0.1,70,20000
413,1.0,600,0.1,80,0
414,1.0,600,0.1,80,5000
415,1.0,600,0.1,80,7000
416,1.0,600,0.1,80,11000
417,1.0,600,0.1,80,13000
418,1.0,600,0.1,80,15000
419,1.0,600,0.1,80,20000
420,1.0,700,0.1,30,0
421,1.0,700,0.1,30,5000
422,1.0,700,0.1,30,7000
423,1.0,700,0.1,30,11000
424,1.0,700,0.1,30,13000
425,1.0,700,0.1,30,15000
426,1.0,700,0.1,30,20000
427,1.0,700,0.1,40,0
428,1.0,700,0.1,40,5000
429,1.0,700,0.1,40,7000
430,1.0,700,0.1,40,11000
431,1.0,700,0.1,40,13000
432,1.0,700,0.1,40,15000
433,1.0,700,0.1,40,20000
434,1.0,700,0.1,50,0
435,1.0,700,0.1,50,5000
436,1.0,700,0.1,50,7000
437,1.0,700,0.1,50,11000
438,1.0,700,0.1,50,13000
439,1.0,700,0.1,50,15000
440,1.0,700,0.1,50,20000
441,1.0,700,0.1,60,0
442,1.0,700,0.1,60,5000
443,1.0,700,0.1,60,7000
444,1.0,700,0.1,60,11000
445,1.0,700,0.1,60,13000
446,1.0,700,0.1,60,15000
447,1.0,700,0.1,60,20000
448,1.0,700,0.1,70,0
449,1.0,700,0.1,70,5000
450,1.0,700,0.1,70,7000
451,1.0,700,0.1,70,11000
452,1.0,700,0.1,70,13000
453,1.0,700,0.1,70,15000
454,1.0,700,0.1,70,20000
455,1.0,700,0.1,80,0
456,1.0,700,0.1,80,5000
457,1.0,700,0.1,80,7000
458,1.0,700,0.1,80,11000
459,1.0,700,0.1,80,13000
460,1.0,700,0.1,80,15000
461,1.0,700,0.1,80,20000
462,1.0,800,0.1,30,0
463,1.0,800,0.1,30,5000
464,1.0,800,0.1,30,7000
465,1.0,800,0.1,30,11000
466,1.0,800,0.1,30,13000
467,1.0,800,0.1,30,15000
468,1.0,800,0.1,30,20000
469,1.0,800,0.1,40,0
470,1.0,800,0.1,40,5000
471,1.0,800,0.1,40,7000
472,1.0,800,0.1,40,11000
473,1.0,800,0.1,40,13000
474,1.0,800,0.1,40,15000
475,1.0,800,0.1,40,20000
476,1.0,800,0.1,50,0
477,1.0,800,0.1,50,5000
478,1.0,800,0.1,50,7000
479,1.0,800,0.1,50,11000
480,1.0,800,0.1,50,13000
481,1.0,800,0.1,50,15000
482,1.0,800,0.1,50,20000
483,1.0,800,0.1,60,0
484,1.0,800,0.1,60,5000
485,1.0,800,0.1,60,7000
486,1.0,800,0.1,60,11000
487,1.0,800,0.1,60,13000
