dz,density,zenith,algae,BBA,abs
0.05,800,40,5000,0.16353987901697617,116.97773216233476
0.05,800,40,7000,0.15951487833006203,123.36084662001026
0.05,800,40,11000,0.15211268966031885,135.3626968625279
0.05,800,40,13000,0.14870198549562247,141.02382718828713
0.05,800,40,15000,0.14546543953899074,146.4832518772766
0.05,800,40,20000,0.13806164766095552,159.33269852630798
0.05,800,50,0,0.19709661961687625,85.62038259122244
0.05,800,50,5000,0.18423004223099038,102.01213652189509
0.05,800,50,7000,0.17960000399082485,108.05825474429878
0.05,800,50,11000,0.17109815997599678,119.40682163095812
0.05,800,50,13000,0.16718705067690437,124.74986913039575
0.05,800,50,15000,0.16348013972292896,129.8947673489627
0.05,800,50,20000,0.15501316368812312,141.98353667639952
0.05,800,60,0,0.22805458441760015,67.63313254183792
0.05,800,60,5000,0.21260892694421887,82.52665471179763
0.05,800,60,7000,0.2070707440300845,88.0015911735791
0.05,800,60,11000,0.1969320514110212,98.24775131607326
0.05,800,60,13000,0.1922824044223479,103.05690965337993
0.05,800,60,15000,0.18788456480716004,107.67803008232525
0.05,800,60,20000,0.17787504058854822,118.4957149404496
0.05,800,70,0,0.26512897023552107,47.4138357365041
0.05,800,70,5000,0.2456156547481352,59.78605271366436
0.05,800,70,7000,0.23867656793412334,64.30174908834006
0.05,800,70,11000,0.2260604625433611,72.70061521062904
0.05,800,70,13000,0.22031522919093888,76.61741837328638
0.05,800,70,15000,0.21490623990250846,80.36474152459698
0.05,800,70,20000,0.20269283175978,89.06967527964318
0.05,800,80,0,0.30233140844671424,24.98125416019505
0.05,800,80,5000,0.27515759087514946,33.10735274774491
0.05,800,80,7000,0.2657627811556127,35.99766450875489
0.05,800,80,11000,0.24907086229509884,41.257458895330046
0.05,800,80,13000,0.24164490284722626,43.655991142160666
0.05,800,80,15000,0.23475886214197084,45.916811909151775
0.05,800,80,20000,0.21960505796211496,51.03444282825122
0.05,850,30,0,0.1399855940910301,112.19740992553152
0.05,850,30,5000,0.1306938268999652,130.03815501077753
0.05,850,30,7000,0.12735675209554803,136.64160873983133
0.05,850,30,11000,0.12123619750429031,149.08131715146644
0.05,850,30,13000,0.11842440662147909,154.9584022413486
0.05,850,30,15000,0.11576036888565572,160.6352610863011
0.05,850,30,20000,0.10968213822966195,174.0376342395289
0.05,850,40,0,0.15460217277455876,101.06040904124795
0.05,850,40,5000,0.14421925537124108,118.44081692362558
