,dz,density,zenith,BBA,delA
135,0.08,400,60,0.6412623809761004,0.3326094936215496
136,0.08,400,70,0.6544055031528896,0.34575261579833877
137,0.08,400,80,0.6626441977111497,0.35399131035659887
138,0.08,500,30,0.5686518004561525,0.25999891310160167
139,0.08,500,40,0.5783804456551287,0.2697275583005779
140,0.08,500,50,0.5911426208424613,0.28248973348791045
141,0.08,500,60,0.6047156960404382,0.29606280868588736
142,0.08,500,70,0.619191061709659,0.31053817435510817
143,0.08,500,80,0.6287174543401749,0.3200645669856241
144,0.08,600,30,0.5196619027122584,0.2110090153577076
145,0.08,600,40,0.5304645556000425,0.22181166824549164
146,0.08,600,50,0.5446539870921483,0.23600109973759748
147,0.08,600,60,0.5597969117468844,0.2511440243923336
148,0.08,600,70,0.5761097264807875,0.2674568391262367
149,0.08,600,80,0.5876117417795635,0.2789588544250127
150,0.08,700,30,0.45178006060460996,0.14312717325005914
151,0.08,700,40,0.4641776686957445,0.15552478134119369
152,0.08,700,50,0.48048247701366537,0.17182958965911455
153,0.08,700,60,0.49796509318819127,0.18931220583364045
154,0.08,700,70,0.5170573911346196,0.20840450378006875
155,0.08,700,80,0.5317398969354645,0.2230870095809137
156,0.08,800,30,0.3413133689599,0.03266048160534918
157,0.08,800,40,0.35637260712037455,0.04771971976582373
158,0.08,800,50,0.37627599830489106,0.06762311095034024
159,0.08,800,60,0.39778338646693817,0.08913049911238735
160,0.08,800,70,0.42170257056258487,0.11304968320803405
161,0.08,800,80,0.44214071894448304,0.13348783158993222
162,0.08,900,30,0.11971304613563395,-0.18893984121891688
163,0.08,900,40,0.13047110687332905,-0.17818178048122177
164,0.08,900,50,0.14725704155538424,-0.16139584579916658
165,0.08,900,60,0.16978793666479675,-0.13886495068975407
166,0.08,900,70,0.2023399786287726,-0.10631290872577823
167,0.08,900,80,0.24024184079987848,-0.06841104655467234
168,0.1,300,30,0.6597773552915486,0.4161849110158994
169,0.1,300,40,0.6674119575539865,0.42381951327833733
170,0.1,300,50,0.6773958304699329,0.4338033861942837
171,0.1,300,60,0.687929660261403,0.4443372159857538
172,0.1,300,70,0.698885952816414,0.4552935085407648
173,0.1,300,80,0.7047766620239075,0.46118421774825835
174,0.1,400,30,0.6261215155997063,0.3825290713240571
175,0.1,400,40,0.6343488674084434,0.39075642313279424
176,0.1,400,50,0.6451222943703206,0.40152985009467146
177,0.1,400,60,0.6564933901418876,0.4129009458662384
178,0.1,400,70,0.6683502011306394,0.4247577568549902
179,0.1,400,80,0.6748711750311857,0.43127873075553647
180,0.1,500,30,0.5887341509675361,0.34514170669188693
181,0.1,500,40,0.5976795349590602,0.35408709068341104
182,0.1,500,50,0.6094055300302188,0.3658130857545696
183,0.1,500,60,0.6218116998078026,0.3782192555321534
184,0.1,500,70,0.6348373593120352,0.39124491503638603
185,0.1,500,80,0.6424243336440297,0.39883188936838054
186,0.1,600,30,0.5427310464481719,0.29913860217252275
187,0.1,600,40,0.5526298431441753,0.3090373988685261
188,0.1,600,50,0.5656248961700392,0.32203245189439
189,0.1,600,60,0.5794244473192032,0.335832003043554
190,0.1,600,70,0.5940709984251458,0.3504785541494966
191,0.1,600,80,0.6033471110870072,0.35975466681135804
192,0.1,700,30,0.47867535485224344,0.23508291057659425
193,0.1,700,40,0.49001129954687894,0.24641885527122975
194,0.1,700,50,0.5049153826396364,0.26132293836398723
195,0.1,700,60,0.520827137471911,0.2772346931962618
196,0.1,700,70,0.5379783529839833,0.29438590870833414
197,0.1,700,80,0.5500816158180026,0.30648917154235344
198,0.1,800,30,0.3713775591625662,0.12778511488691702
199,0.1,800,40,0.38528567498882543,0.14169323071317624
200,0.1,800,50,0.4036157975025435,0.16002335322689432
201,0.1,800,60,0.4233398466302396,0.1797474023545904
202,0.1,800,70,0.44507144023626305,0.20147899596061386
203,0.1,800,80,0.46263742438849986,0.21904498011285067
204,0.1,900,30,0.1293922372128568,-0.11420020706279238
205,0.1,900,40,0.14135717287873317,-0.10223527139691602
206,0.1,900,50,0.15963321793053462,-0.08395922634511457
207,0.1,900,60,0.1833365141745247,-0.06025593010112448
208,0.1,900,70,0.21566098650924043,-0.027931457766408763
209,0.1,900,80,0.24977838943585629,0.006185945160207096
210,0.12,300,30,0.6707581948248252,0.503003644715337
211,0.12,300,40,0.6779650973330599,0.5102105472235716
212,0.12,300,50,0.687382093240134,0.5196275431306457
213,0.12,300,60,0.6972756124895765,0.5295210623800882
214,0.12,300,70,0.7074334113126812,0.539678861203193
215,0.12,300,80,0.7122517011244704,0.5444971510149822
216,0.12,400,30,0.6382560479844295,0.4705014978749412
217,0.12,400,40,0.646008688648495,0.4782541385390068
218,0.12,400,50,0.6561528684949831,0.48839831838549486
219,0.12,400,60,0.666812335430938,0.49905778532144973
220,0.12,400,70,0.6777801305647799,0.5100255804552917
221,0.12,400,80,0.6831015889546288,0.5153470388451405
222,0.12,500,30,0.602546663248082,0.4347921131385938
223,0.12,500,40,0.6109499096627246,0.4431953595532363
224,0.12,500,50,0.6219575789302498,0.4542030288207616
225,0.12,500,60,0.6335513995278076,0.46579684941831934
226,0.12,500,70,0.6455621887627099,0.4778076386532216
227,0.12,500,80,0.6517779598634175,0.4840234097539292
228,0.12,600,30,0.5589367724112065,0.3911822223017183
229,0.12,600,40,0.5681972897540871,0.40044273964459887
230,0.12,600,50,0.5803474824538962,0.41259293234440797
231,0.12,600,60,0.5931927717375868,0.4254382216280985
232,0.12,600,70,0.6066491063355862,0.43889455622609796
233,0.12,600,80,0.614319729986239,0.4465651798767507
234,0.12,700,30,0.4982413089162607,0.3304867588067725
235,0.12,700,40,0.5088018835562701,0.34104733344678184
236,0.12,700,50,0.5226817328131066,0.35492718270361834
237,0.12,700,60,0.5374399730069309,0.36968542289744266
238,0.12,700,70,0.553157826865303,0.38540327675581476
239,0.12,700,80,0.5633379129938294,0.39558336288434115
240,0.12,800,30,0.394800196725927,0.22704564661643875
241,0.12,800,40,0.40777866141117747,0.24002411130168924
242,0.12,800,50,0.42486942644581865,0.25711487633633046
243,0.12,800,60,0.4432006406785061,0.2754460905690179
244,0.12,800,70,0.46321544855770797,0.29546089844821977
245,0.12,800,80,0.4785040020514737,0.31074945194198544
246,0.12,900,30,0.13888126943792956,-0.02887328067155867
247,0.12,900,40,0.1517328446625894,-0.01602170544689882
248,0.12,900,50,0.1709947398863642,0.0032401897768759846
249,0.12,900,60,0.19524431029709852,0.02748976018761029
250,0.12,900,70,0.22680503640800584,0.05905048629851761
251,0.12,900,80,0.25800561695172153,0.0902510668422333
252,0.15,300,30,0.6816546054659586,0.5913669828138955
253,0.15,300,40,0.6884337030651518,0.5981460804130888
254,0.15,300,50,0.6972828617154279,0.6069952390633648
255,0.15,300,60,0.7065322784507324,0.6162446557986694
256,0.15,300,70,0.7158823876075877,0.6255947649555247
257,0.15,300,80,0.7196054426420131,0.6293178199899501
258,0.15,400,30,0.8814425233142099,0.7911549006621469
259,0.15,400,40,0.6576516206716536,0.5673639980195906
260,0.15,400,50,0.6671614637065679,0.5768738410545049
261,0.15,400,60,0.6771005512163012,0.5868129285642382
262,0.15,400,70,0.6871635709803353,0.5968759483282723
263,0.15,400,80,0.6912536117244863,0.6009659890724233
264,0.15,500,30,0.6165044671130433,0.5262168444609803
265,0.15,500,40,0.6243559180949806,0.5340682954429176
266,0.15,500,50,0.6346313664384432,0.5443437437863802
267,0.15,500,60,0.6453936933279169,0.5551060706758538
268,0.15,500,70,0.6563602332222395,0.5660726105701764
269,0.15,500,80,0.6611534733223505,0.5708658506702875
270,0.15,600,30,0.5756271827584999,0.4853395601064369
271,0.15,600,40,0.5842262119416582,0.4939385892895953
272,0.15,600,50,0.5954994303225986,0.5052118076705355
273,0.15,600,60,0.6073500737599883,0.5170624511079253
274,0.15,600,70,0.619559308507117,0.529271685855054
275,0.15,600,80,0.6255339280068343,0.5352463053547712
276,0.15,700,30,0.5190551530218239,0.42876753036976095
277,0.15,700,40,0.5287872237503709,0.43849960109830793
278,0.15,700,50,0.5415706861862631,0.45128306353420017
279,0.15,700,60,0.7935174623147742,0.7032298396627111
280,0.15,700,70,0.5692576893956139,0.47897006674355097
281,0.15,700,80,0.5773416602008682,0.4870540375488052
282,0.15,800,30,0.4213779421564203,0.33109031950435736
283,0.15,800,40,0.43328767365114423,0.34300005099908126
284,0.15,800,50,0.4489650338593553,0.35867741120729235
285,0.15,800,60,0.465706492068692,0.37541886941662905
286,0.15,800,70,0.4837504775002858,0.39346285484822285
287,0.15,800,80,0.4964011911891878,0.4061135685371248
288,0.15,900,30,0.15257365078799234,0.06228602813592936
289,0.15,900,40,0.16630973154677653,0.07602210889471354
290,0.15,900,50,0.18639930610864025,0.09611168345657727
291,0.15,900,60,0.21077243747671756,0.12048481482465458
292,0.15,900,70,0.24086618471816393,0.15057856206610093
293,0.15,900,80,0.2689115865182542,0.17862396386619123
294,0.18,300,30,0.6887484276137109,0.12643770137777932
295,0.18,300,40,0.6952465777087774,0.1329358514728458
296,0.18,300,50,0.7037222960242518,0.14141156978832026
297,0.18,300,60,0.7125463305795291,0.1502356043435975
298,0.18,300,70,0.7213602251928826,0.15904949895695097
299,0.18,300,80,0.7243505204578591,0.1620397942219275
300,0.18,400,30,0.6583086680115969,0.09599794177566534
301,0.18,400,40,0.6652681032803013,0.10295737704436969
302,0.18,400,50,0.6743587287091456,0.112048002473214
303,0.18,400,60,0.6838197757700935,0.12150904953416186
304,0.18,400,70,0.6932794079570274,0.13096868172109577
305,0.18,400,80,0.6965427461207622,0.13423201988483058
306,0.18,500,30,0.6257322941561946,0.06342156792026299
307,0.18,500,40,0.6332160325104443,0.07090530627451275
308,0.18,500,50,0.6430028312261019,0.08069210499017032
309,0.18,500,60,0.65320800347853,0.09089727724259844
310,0.18,500,70,0.6634714378001804,0.10116071156424877
311,0.18,500,80,0.6673009187522602,0.10499019251632857
312,0.18,600,30,0.5868569071140592,0.024546180878127655
313,0.18,600,40,0.8517784446617485,0.28946771842581687
314,0.18,600,50,0.6056857607948378,0.043375034558906234
